eventID,round,month,day,year,site,type,AM/PM ,start.time,end.time,temp.start,temp.end,windstart.mean,windend.mean,windstart.max,windend.max,sky,notes
100001,1,8,8,2017,nelson,pollination,AM,9:42,9:56,22.2,25.6,1.9,1.8,2.9,3.4,clear,had to troubleshoot fence and locate second plot
100002,1,8,8,2017,rudningen,pollination,AM,8:15,9:10,18.3,21.1,3,3,5,5,clear,
100003,1,8,11,2017,staples,pollination,AM,10:01,11:42,24.4,26.1,2.4,3.3.,4.5,6.1,clear,tagging and marking
100004,1,8,11,2017,woltjer,pollination,AM,8:50,10:19,20.6,21.5,1.2,1.8,2.1,3.1,clear,
100005,1,8,12,2017,silis,pollination,AM,10:00,10:45,na,23.9,na,0.7,na,1.5,clear,failed to do beginning weather
100006,1,8,12,2017,braaten,pollination,AM,9:11,10:57,20.4,23.4,1.7,0.9,2.4,1.8,clear,had to replace plants
100007,1,8,12,2017,howe,pollination,AM,10:15,12:20,22.8,31.1,3.3,1.6,4.7,2.8,clear,
100008,1,8,14,2017,grohn,pollination,AM,11:21,12:54,21.1,22.2,2.1,1.4,2.5,3.1,overcast,
100009,1,8,14,2017,nygard,pollination,AM,9:50,11:50,19.1,21,0.4,1.3,0.7,1.6,bright overcast,
100010,1,8,14,2017,henningson,pollination,AM,10:30,11:30,20.2,19.8,1.5,1.1,2,1.5,cloudy/complete overcast,
100011,2,8,19,2017,nelson,pollination,AM,9:30,10:00,21.6,22.3,0.6,1,1.5,2.4,clear,info obtained from that listed for rundingen (Alan took data there on the same day)
100012,2,8,19,2017,rudningen,pollination,AM,9:30,11:02,21.6,22.3,0.6,1,1.5,2.4,clear,dropped pollen tube; have a lot of back-ups
100013,2,8,20,2017,braaten,pollination,AM,9:45,10:46,22.4,22.7,1.1,1.9,1.7,2.5,partly cloudy (start); bright overcast (end),
100014,2,8,22,2017,staples,pollination,AM,8:42,10:50,17.3,18.3,0.8,5.8,1.4,8.4,clear,
100015,2,8,22,2017,woltjer,pollination,AM,10:00,12:05,16.5,21.1,1.8,0.9,3.5,4,clear,
100016,2,8,23,2017,silis,pollination,PM,12:05,12:44,22.3,24.1,0.5,0.6,1.1,1.3,clear,
100017,2,8,23,2017,grohn,pollination,AM,11:15,12:45,na,na,na,na,na,na,na,
100018,2,8,24,2017,howe,pollination,AM,10:15,11:53,na,na,real windy,real windy,real windy,real windy,clear,
100019,3,8,30,2017,howe,pollination,AM,10:30,11:36,23.1,24.6,1.1,1,1.8,1.3,clear,hand-pollinated: 10:42 AM
100020,3,8,30,2017,rudningen,pollination,AM,11:47,12:53,23.4,28.2,2.3,0.8,2.9,1.4,clear,
100021,3,8,30,2017,grohn,pollination,AM,8:39,9:34,20,20.2,0.6,1.2,1.9,2,clear,
100022,3,8,30,2017,woltjer,pollination,AM,9:35,10:40,27.5,28.1,0.4,0.9,0.9,2.2,clear,couldn't find plot at first - dead GRS
100023,3,8,31,2017,silis,pollination,AM,11:10,12:15,19.1,21,1.2,2.2,3.7,2.8,partly cloudy,hand-pollinated: 11:20 AM
100024,3,8,31,2017,braaten,pollination,AM,9:10,10:28,15.1,17.5,2.5,2.8,3.2,3.5,clear,
100025,3,8,31,2017,nelson,pollination,AM,11:36,12:26,21.7,23.6,0.6,0.8,1.2,1.5,clear,
100026,3,8,31,2017,staples,pollination,AM,8:37,9:50,14.5,16.6,1.7,2.6,2.6,5,clear,hand-pollinated: 8:53
100027,4,9,6,2017,silis,pollination,AM,11:20,12:30,16.1,17.7,2.8,2.6,4.5,4.4,clear,hand-pollinated: 11:23 AM
100028,4,9,6,2017,braaten,pollination,AM,9:18,10:34,12.8,15.9,1.4,1.1,2.7,1.7,clear,
100029,4,9,6,2017,nelson,pollination,AM,11:24,12:53,16.3,19.8,1.8,1.5,3.2,2.4,clear,NE1 lost one round 2 fruit to damage; see photos 9/5/2017; 13/13 ovules filled
100030,4,9,6,2017,staples,pollination,AM,8:44,10:10,10,13.4,0.3,2.5,1,3.5,clear,hand-pollinated at 9:56 - end; waited to pollinate and paint; cold/day (? - see data sheet) 
100031,4,9,7,2017,howe,pollination,AM,11:41,12:35,22.3,24.5,1.7,1.3,3.1,1.9,clear,
100032,4,9,7,2017,rudningen,pollination,PM,12:01,13:25,21.4,22.3,1.1,1.7,1.8,1.9,clear,
100033,4,9,7,2017,grohn,pollination,AM,9:31,10:25,17.1,21.1,1.1,0.9,3.1,1.5,clear,end hand-pollination at 9:48 AM
100034,4,9,7,2017,woltjer,pollination,AM,10:11,11:35,15.3,16.8,1.2,1.7,2.1,2.8,clear,
